R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,PPV
Khabib Nurmagomedov,Edson Barboza,John McCarthy,2017-12-30,"Las Vegas, Nevada, USA",Red,False,Lightweight,0.5057373046875,0.0020751953125,0.3942803955078124,0.3818029785156249,0.291280517578125,0.015880126953125,0.0009765625,0.0673980712890625,0.0,0.0,107.96710205078124,43.76701354980469,125.25990295410156,47.64923095703125,110.84507751464844,46.26779174804688,127.63766479492188,49.08541870117188,0.501068115234375,0.37506103515625,2.831451416015625,0.0169830322265625,71.88591003417969,17.97344970703125,104.4166259765625,32.68647766113281,20.65948486328125,13.132583618164062,11.740921020507812,7.4311981201171875,15.421707153320312,12.660980224609377,9.10235595703125,7.53155517578125,104.70843505859376,41.98384094238281,120.4566650390625,44.26898193359375,0.1646270751953125,0.008270263671875,3.1809234619140625,1.87615966796875,3.0940399169921875,1.77490234375,1.622314453125,1.50408935546875,18.390304565429688,4.08465576171875,676.1855163574219,40,0,4,0,4,13,4,0,1,1,5,6,0,0,Orthodox,180.34,190.5,145.0,0.0234375,0.0,0.613515625,0.255390625,0.447265625,0.0325,0.5703125,0.5,0.0,0.0,120.625,75.15625,64.1796875,16.9453125,161.5,113.875,73.4453125,24.84375,6.953125,3.2421875,0.34375,0.0390625,116.46875,71.4453125,46.1015625,9.0,2.40625,1.984375,14.609375,5.6015625,1.75,1.7265625,3.46875,2.34375,30.53125,8.25,62.921875,16.015625,1.9375,1.5390625,0.7265625,0.4609375,88.15625,65.3671875,0.53125,0.46875,467.546875,5.203125,716.390625,21,0,8,0,8,8,0,0,0,0,4,2,2,0,Orthodox,177.8,177.8,155.0,31.0,29.0,380000
Cristiane Justino,Holly Holm,Herb Dean,2017-12-30,"Las Vegas, Nevada, USA",Red,True,WomenFeatherweight,0.53125,0.0,0.4278125,0.3478125,0.046875,0.06625,0.0,0.125,0.0,0.0,114.96875,45.078125,105.0,42.4375,131.9375,59.40625,132.40625,67.390625,2.296875,0.046875,1.796875,0.5,70.984375,15.78125,68.25,17.171875,21.609375,12.5,17.71875,12.734375,22.375,16.796875,19.03125,12.53125,106.859375,38.96875,93.484375,33.03125,6.953125,5.515625,10.0,8.390625,1.15625,0.59375,1.515625,1.015625,142.859375,55.796875,1024.46875,26,3,3,0,3,4,3,0,0,1,1,2,0,0,Southpaw,172.72,175.26,135.0,0.75,0.0,0.5825,0.39,0.25,0.125,0.0,0.0,0.0,0.0,113.25,64.5,50.5,20.0,119.0,70.0,54.75,23.75,1.0,0.5,2.25,0.5,79.5,36.5,31.0,7.5,21.75,16.5,12.0,7.25,12.0,11.5,7.5,5.25,76.25,40.0,42.25,14.75,20.5,13.25,7.5,5.25,16.5,11.25,0.75,0.0,109.0,30.25,490.5,6,1,3,0,3,3,0,0,0,0,0,3,0,0,Orthodox,172.72,172.72,145.0,36.0,32.0,380000
Dan Hooker,Marc Diakiese,Herb Dean,2017-12-30,"Las Vegas, Nevada, USA",Red,False,Lightweight,0.25,0.0,0.51625,0.59125,0.3475,0.2925,0.0,0.0,0.5,0.0,59.0,25.625,52.875,24.875,79.625,45.375,83.0,48.75,4.75,1.875,4.625,1.875,39.25,11.625,30.625,6.875,13.875,9.5,9.5,7.25,5.875,4.5,12.75,10.75,48.375,18.25,36.625,15.875,8.75,5.75,7.875,4.75,1.875,1.625,8.375,4.25,149.75,212.375,642.5,9,0,3,0,3,3,1,0,0,0,1,2,0,0,Orthodox,177.8,185.42,155.0,0.53125,0.0,0.46859375,0.4071875,0.020625,0.10484375,0.125,1.046875,0.28125,0.0,107.4375,50.453125,104.515625,40.578125,119.4375,61.234375,112.234375,47.40625,0.6875,0.0625,4.453125,1.234375,84.9375,33.78125,83.4375,24.53125,6.5625,4.15625,14.109375,10.015625,15.9375,12.515625,6.96875,6.03125,103.515625,48.421875,99.59375,37.328125,2.390625,1.09375,3.53125,1.984375,1.53125,0.9375,1.390625,1.265625,39.125,84.75,567.4375,15,0,1,0,1,4,3,0,0,0,0,3,1,0,Switch,182.88,190.5,155.0,24.0,27.0,380000
Marvin Vettori,Omari Akhmedov,Chris Tognoni,2017-12-30,"Las Vegas, Nevada, USA",Draw,False,Middleweight,0.0703125,0.0703125,0.328359375,0.39390625,0.6426562499999999,0.02859375,0.1328125,0.1796875,0.0,0.625,119.84375,40.0625,87.03125,36.65625,163.453125,75.4375,97.390625,45.4453125,6.6171875,4.2734375,0.640625,0.09375,106.9296875,31.8515625,71.7265625,27.3828125,8.0546875,4.71875,7.125,4.46875,4.859375,3.4921875,8.1796875,4.8046875,98.3828125,27.203125,76.3984375,28.5703125,4.8359375,2.703125,10.2109375,7.7109375,16.625,10.15625,0.421875,0.375,285.2109375,26.5546875,846.2421875,18,0,1,0,2,5,3,0,0,1,2,2,0,0,Orthodox,182.88,185.42,185.0,0.0,0.0,0.49,0.3575,0.71,0.2,0.5,0.0,0.0,0.0,101.5,44.25,101.5,33.5,141.0,77.75,123.25,53.25,4.0,2.0,4.25,1.25,87.75,32.75,61.5,10.25,5.75,4.0,16.25,7.75,8.0,7.5,23.75,15.5,91.5,36.25,93.75,27.75,1.75,1.5,4.75,4.0,8.25,6.5,3.0,1.75,163.75,143.0,742.5,7,0,1,0,1,2,1,0,0,0,1,0,1,0,Southpaw,182.88,187.96,185.0,30.0,24.0,380000
Cynthia Calvillo,Carla Esparza,Chris Tognoni,2017-12-30,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,0.0,0.0,0.3924999999999999,0.3924999999999999,0.44625,0.020625,0.3125,0.5,0.0,0.5,92.75,34.375,103.4375,39.3125,169.875,103.5625,119.25,51.75,11.875,5.0,0.5625,0.0625,81.75,27.8125,98.125,35.625,6.875,4.5625,4.875,3.3125,4.125,2.0,0.4375,0.375,66.625,16.9375,86.6875,27.0,8.25,5.4375,4.6875,1.875,17.875,12.0,12.0625,10.4375,327.9375,24.5,865.1875,14,2,1,0,1,3,2,0,0,0,2,0,1,0,Orthodox,154.94,160.02,115.0,0.0,0.0,0.4375,0.32,0.7,0.165,2.5,0.25,0.0,0.5,104.25,42.75,123.0,42.5,113.75,51.0,127.25,46.75,3.0,1.5,1.0,0.5,64.25,17.75,84.5,18.0,25.0,17.5,19.75,9.75,15.0,7.5,18.75,14.75,99.75,39.25,120.0,40.75,2.75,2.25,2.5,1.5,1.75,1.25,0.5,0.25,138.75,27.75,706.0,7,0,3,0,3,3,0,0,0,0,1,0,2,0,Orthodox,162.56,162.56,125.0,30.0,30.0,380000
Myles Jury,Rick Glenn,John McCarthy,2017-12-30,"Las Vegas, Nevada, USA",Red,False,Featherweight,0.5,0.0,0.5,0.39,0.285,0.0825,0.5,1.0,0.0,0.0,186.25,98.5,136.25,60.0,215.5,122.75,176.25,94.75,7.0,2.0,4.75,0.75,141.0,63.5,121.75,50.25,36.0,27.5,11.5,7.25,9.25,7.5,3.0,2.5,91.5,35.0,112.5,43.75,28.0,18.5,17.0,11.75,66.75,45.0,6.75,4.5,301.0,113.25,900.0,9,0,0,1,2,2,1,0,0,1,1,0,0,0,Southpaw,182.88,177.8,145.0,0.0703125,0.0,0.5052343749999999,0.210703125,0.568828125,0.38671875,0.0078125,0.5625,0.0234375,0.1640625,43.7578125,23.8359375,19.546875,7.203125,50.203125,28.78515625,25.328125,12.09375,1.6640625,0.80859375,0.38671875,0.38671875,38.8125,21.26171875,11.4140625,1.30078125,1.96875,0.703125,3.20703125,1.83203125,2.9765625,1.87109375,4.92578125,4.0703125,19.15234375,5.546875,17.68359375,5.89453125,0.1015625,0.1015625,0.50390625,0.23828125,24.50390625,18.1875,1.359375,1.0703125,146.046875,33.8515625,318.98046875,18,0,6,0,6,7,2,0,0,1,2,3,1,0,Orthodox,177.8,185.42,145.0,28.0,29.0,380000
Khalil Rountree Jr.,Michal Oleksiejczuk,Herb Dean,2017-12-30,"Las Vegas, Nevada, USA",Draw,False,LightHeavyweight,0.2669864626285237,0.1704438780166658,0.4550537478104547,0.4233663158914985,0.3026107644928204,0.27523109522119144,0.5490959631736282,0.44089951037023045,0.16127309978509852,0.14655293191967306,69.45388090869655,30.33668781045777,65.56582423106234,27.059112493298834,92.84259378017667,51.31915714971063,86.04699139940705,45.53700445247566,2.8473922983125415,1.2019585519611082,2.770518837499251,1.0385272858813301,55.14560309639736,19.686510215112403,51.65342463088989,16.860464810865288,8.428096689336096,6.007010387588517,7.915057880911052,5.482365904984602,5.880181122963091,4.643167207756852,5.997341719261393,4.716281777448942,51.67705335019765,18.604264957435838,50.65984050731004,17.403268347239596,8.319355899622197,5.5848628904090525,7.628175395589222,5.001110037342027,9.4574716588767,6.147559962612884,7.277808328163072,4.654734108717211,152.83402731431568,132.5009725851857,594.3369865021649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,205.0,0.875,0.0,0.52125,0.45125,0.0,0.1875,0.0,0.125,0.0,0.0,28.5,10.375,21.5,12.875,36.25,17.25,37.75,25.125,0.0,0.0,2.75,1.0,25.75,9.25,7.625,3.375,2.75,1.125,3.0,2.25,0.0,0.0,10.875,7.25,24.0,7.5,18.375,10.25,0.625,0.625,0.0,0.0,3.875,2.25,3.125,2.625,2.25,115.875,304.375,6,1,0,2,2,2,2,0,0,0,0,2,0,0,Southpaw,185.42,193.04,205.0,22.0,27.0,380000
Carlos Condit,Neil Magny,John McCarthy,2017-12-30,"Las Vegas, Nevada, USA",Blue,False,Welterweight,0.000244140625,0.3125,0.3483331298828125,0.6883076477050781,0.3057391357421875,0.2741865539550781,0.626953125,0.5084381103515625,0.0039215087890625,0.031982421875,47.78013610839844,26.416168212890625,33.48908996582031,21.104461669921875,68.33152770996094,45.78195190429688,48.858673095703125,34.29412841796875,1.6105804443359375,0.58074951171875,2.12384033203125,1.6917724609375,36.36691284179688,18.203155517578125,25.9786376953125,14.39520263671875,7.848419189453125,5.8407745361328125,2.1934356689453125,1.908905029296875,3.564804077148437,2.3722381591796875,5.3170166015625,4.80035400390625,32.2015380859375,13.07763671875,16.057220458984375,8.08892822265625,2.364974975585937,2.054962158203125,3.5211181640625,2.1284332275390625,13.213623046875,11.2835693359375,13.910751342773438,10.887100219726562,25.31163024902344,294.9872283935547,476.8329620361328,44,0,1,0,7,12,5,0,0,1,6,4,1,0,Orthodox,190.5,203.2,170.0,0.1669921875,0.31298828125,0.2665283203125,0.7432788085937501,0.08280517578125,0.59814697265625,0.12841796875,0.627197265625,0.0419921875,0.001708984375,161.9228515625,59.43115234375,61.435546875,31.1904296875,173.57421875,69.717041015625,66.93359375,36.529052734375,0.43994140625,0.2509765625,1.472900390625,1.12646484375,122.949951171875,34.124755859375,54.47265625,24.953857421875,24.128173828125,14.47705078125,3.3818359375,3.215087890625,14.8447265625,10.829345703125,3.5810546875,3.021484375,143.61572265625,48.379150390625,52.591796875,25.349365234375,14.175537109375,8.01171875,6.48291015625,4.27587890625,4.131591796875,3.040283203125,2.36083984375,1.565185546875,25.32373046875,87.43798828125,595.18701171875,38,3,0,1,5,7,6,0,0,1,1,4,0,1,Orthodox,187.96,190.5,170.0,30.0,33.0,380000
Louis Smolka,Matheus Nicolau,John McCarthy,2017-12-30,"Las Vegas, Nevada, USA",Blue,False,Flyweight,1.0,0.5,0.5349999999999999,0.305,0.375,0.0,1.5,0.0,0.0,0.0,81.0,43.5,96.0,29.0,109.0,67.0,109.0,41.0,2.5,1.5,1.0,0.0,52.5,22.0,80.0,17.5,15.5,10.0,8.0,4.5,13.0,11.5,8.0,7.0,70.5,37.0,87.5,24.0,0.5,0.5,1.0,0.5,10.0,6.0,7.5,4.5,220.0,0.0,853.5,6,0,2,0,2,2,0,0,0,1,0,0,1,0,Orthodox,167.64,167.64,125.0,0.0078125,0.015625,0.4140625,0.5960156249999999,0.294921875,0.7029687499999999,1.83203125,1.1328125,2.2734375,1.6640625,73.875,32.25,61.14453125,36.890625,86.3359375,43.11328125,91.18359375,64.01953125,3.02734375,0.91796875,9.484375,7.30859375,66.65625,27.65625,44.140625,22.65234375,6.05078125,3.4296875,11.94140625,9.72265625,1.16796875,1.1640625,5.0625,4.515625,51.72265625,17.4140625,35.98828125,17.84765625,4.67578125,2.328125,10.9765625,7.54296875,17.4765625,12.5078125,14.1796875,11.5,138.84375,434.06640625,772.265625,23,0,1,0,4,5,4,0,0,0,2,2,1,0,Orthodox,175.26,172.72,135.0,24.0,26.0,380000
Tim Elliott,Mark De La Rosa,Chris Tognoni,2017-12-30,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0.2669864626285237,0.1704438780166658,0.4550537478104547,0.4233663158914985,0.3026107644928204,0.27523109522119144,0.5490959631736282,0.44089951037023045,0.16127309978509852,0.14655293191967306,69.45388090869655,30.33668781045777,65.56582423106234,27.059112493298834,92.84259378017667,51.31915714971063,86.04699139940705,45.53700445247566,2.8473922983125415,1.2019585519611082,2.770518837499251,1.0385272858813301,55.14560309639736,19.686510215112403,51.65342463088989,16.860464810865288,8.428096689336096,6.007010387588517,7.915057880911052,5.482365904984602,5.880181122963091,4.643167207756852,5.997341719261393,4.716281777448942,51.67705335019765,18.604264957435838,50.65984050731004,17.403268347239596,8.319355899622197,5.5848628904090525,7.628175395589222,5.001110037342027,9.4574716588767,6.147559962612884,7.277808328163072,4.654734108717211,152.83402731431568,132.5009725851857,594.3369865021649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135.0,0.00390625,0.0,0.3951171875,0.4364453124999999,0.417578125,0.690859375,0.546875,1.40625,0.75,1.22265625,43.7109375,23.04296875,42.0234375,18.1875,76.99609375,53.3828125,56.87109375,32.24609375,5.40234375,3.76171875,3.14453125,1.7734375,30.59765625,14.0078125,36.46484375,14.1953125,8.36328125,5.6953125,3.08984375,2.0546875,4.75,3.33984375,2.46875,1.9375,29.05078125,12.4296875,32.10546875,11.6015625,7.69921875,5.265625,3.8046875,2.0625,6.9609375,5.34765625,6.11328125,4.5234375,162.0546875,221.53515625,529.125,25,1,0,1,2,3,6,0,0,0,3,0,0,0,Southpaw,170.18,167.64,125.0,23.0,31.0,380000
